balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
PJM,2025-04-14,88085.0,73734.0,6086.0,2032.3877150473438,24,14351.0,0.5416666666666666,-1.192852825912323,0.2519078551771629,2.124062276801207,1.1831173060660471,0.5557623467588796
PJM,2025-04-15,88666.0,71745.0,5023.0,2247.270942366718,24,16921.0,0.5833333333333334,-1.1599809058779766,-0.5261768098290436,2.442418234510905,0.7562605188038847,0.5136339121556601
PJM,2025-04-16,89878.0,76448.0,6357.0,2231.9150076670203,24,13430.0,0.4583333333333333,-1.0914081570283596,0.45027186666980823,1.4873503613818133,0.846214071023262,0.5225118366846517
PJM,2025-04-17,92580.0,77434.0,6310.0,2422.8329387878484,24,15146.0,0.20833333333333334,-0.9385339265071831,0.41586925213049336,-0.4227853848763688,-0.9454500592530586,0.3456843680917197
PJM,2025-04-18,85440.0,73177.0,3904.0,1710.15928097483,24,12263.0,0.375,-1.3425021004232451,-1.3452518240735827,0.8506384459624193,-1.8371154785344084,0.2576818589947387
PJM,2025-04-19,85099.0,68305.0,3848.0,1849.103573944389,24,16794.0,0.2916666666666667,-1.3617952583091522,-1.3862421733119152,0.21392653054302538,-2.534110901078042,0.18889221583196367
PJM,2025-04-20,85998.0,67401.0,4352.0,1773.1386239406509,24,18597.0,0.125,-1.3109314784281243,-1.0173290301669218,-1.059497300295763,-3.387757808890809,0.10464192626600827
PJM,2025-04-21,89136.0,67089.0,5057.0,2114.524059496228,24,22047.0,0.375,-1.1333891633372837,-0.5012898120771988,0.8506384459624193,-0.7840405294520633,0.3616146075150449
PJM,2025-04-22,90283.0,70680.0,5228.0,2349.644228003126,24,19603.0,0.375,-1.0684939959028685,-0.3761228527958617,0.8506384459624193,-0.593978402736311,0.3803727018333993
PJM,2025-04-23,92343.0,69951.0,5469.0,2524.8747651537387,24,22392.0,0.25,-0.9519429541287667,-0.19971795696660888,-0.10442942716667182,-1.2560903382620476,0.31502586840311453
PJM,2025-04-24,93951.0,69810.0,5813.0,2591.203971465606,24,24141.0,0.25,-0.860965247734225,0.052079902640291435,-0.10442942716667182,-0.9133147722606054,0.3488559454846915
PJM,2025-04-25,92594.0,70090.0,5639.0,2456.287812704484,24,22504.0,0.375,-0.9377418320485241,-0.07528296820738488,0.8506384459624193,-0.1623863542934897,0.42296848086437877
PJM,2025-04-26,88957.0,70191.0,4238.0,1868.2779019301652,24,18766.0,0.125,-1.1435166567729944,-1.1007736696878132,-1.059497300295763,-3.303787626756571,0.11292932483205247
